epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,9277.74,0.60009,0.83093,1.11036,0.73696,0.73235,0.79319,0.6751,0.60467,0.84273,1.07829,0.002773,0.002773,0.002773
75,9403.56,0.5959,0.81835,1.10836,0.73243,0.73402,0.79285,0.67538,0.60381,0.84116,1.07705,0.002674,0.002674,0.002674
76,9529.54,0.59539,0.81363,1.10433,0.74062,0.72782,0.7936,0.67605,0.60365,0.83989,1.07676,0.002575,0.002575,0.002575
77,9654.92,0.59002,0.80344,1.10107,0.74259,0.72736,0.7942,0.67715,0.60349,0.83794,1.07673,0.002476,0.002476,0.002476
78,9780.21,0.59262,0.79742,1.10406,0.73135,0.74169,0.79459,0.67778,0.60271,0.83658,1.07582,0.002377,0.002377,0.002377
79,9905.5,0.58456,0.78165,1.0986,0.78124,0.69933,0.7954,0.67885,0.60156,0.83528,1.07441,0.002278,0.002278,0.002278
80,10030.8,0.58205,0.77529,1.09832,0.79394,0.69138,0.7953,0.67868,0.60089,0.83442,1.07359,0.002179,0.002179,0.002179
81,10155.9,0.5801,0.76874,1.09601,0.75552,0.72513,0.79582,0.67989,0.60104,0.83337,1.0737,0.00208,0.00208,0.00208
82,10281.1,0.57919,0.76084,1.09538,0.80319,0.69112,0.79578,0.67977,0.60068,0.83108,1.07369,0.001981,0.001981,0.001981
83,10407.1,0.57561,0.751,1.09206,0.78745,0.70206,0.79694,0.68089,0.60053,0.83,1.07381,0.001882,0.001882,0.001882
84,10532.4,0.56845,0.73667,1.08721,0.77696,0.71121,0.79803,0.68131,0.59986,0.82895,1.07293,0.001783,0.001783,0.001783
85,10658,0.57224,0.74197,1.08887,0.73149,0.75321,0.79895,0.68259,0.59918,0.827,1.07241,0.001684,0.001684,0.001684
86,10784.2,0.56671,0.72567,1.08801,0.79389,0.70116,0.79915,0.68304,0.59915,0.82684,1.07261,0.001585,0.001585,0.001585
87,10910.1,0.56299,0.71384,1.08297,0.78942,0.70582,0.79924,0.68363,0.59827,0.82758,1.07148,0.001486,0.001486,0.001486
88,11035.7,0.56086,0.70357,1.08243,0.76945,0.72476,0.79918,0.68486,0.59771,0.82654,1.07101,0.001387,0.001387,0.001387
89,11160.7,0.5549,0.69763,1.07705,0.76311,0.72996,0.79962,0.68598,0.59751,0.82566,1.07116,0.001288,0.001288,0.001288
90,11286.2,0.55389,0.69277,1.0788,0.78888,0.7112,0.8004,0.6874,0.59722,0.82532,1.07117,0.001189,0.001189,0.001189
91,11424.4,0.48557,0.48788,1.05189,0.78226,0.7177,0.80059,0.68725,0.59666,0.82542,1.07107,0.00109,0.00109,0.00109
92,11549.6,0.47348,0.45553,1.03712,0.77924,0.72253,0.80051,0.68741,0.59575,0.82471,1.07047,0.000991,0.000991,0.000991
93,11673.8,0.4668,0.43153,1.0301,0.77815,0.72207,0.80062,0.68834,0.59477,0.82448,1.0695,0.000892,0.000892,0.000892
94,11798.5,0.45719,0.41662,1.02306,0.77607,0.7237,0.80024,0.6881,0.59319,0.82446,1.06776,0.000793,0.000793,0.000793
95,11923.6,0.45369,0.40588,1.02052,0.77467,0.72528,0.79997,0.68777,0.59288,0.82436,1.06787,0.000694,0.000694,0.000694
96,12048.9,0.44669,0.39303,1.01587,0.76348,0.73717,0.80046,0.68793,0.59303,0.82438,1.06821,0.000595,0.000595,0.000595
97,12173.9,0.4421,0.38135,1.01326,0.76452,0.73808,0.80092,0.68878,0.59315,0.82475,1.06852,0.000496,0.000496,0.000496
98,12298.6,0.43615,0.37115,1.00916,0.75829,0.7446,0.80062,0.68832,0.59316,0.82579,1.0688,0.000397,0.000397,0.000397
99,12422.7,0.432,0.36354,1.00261,0.76149,0.74784,0.80355,0.68953,0.59378,0.82711,1.07007,0.000298,0.000298,0.000298
100,12547.1,0.42805,0.35548,1.00029,0.76371,0.74743,0.8031,0.68953,0.59419,0.8287,1.07086,0.000199,0.000199,0.000199
