epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,61074.5,0.62914,1.00712,1.13214,0.79153,0.75387,0.82854,0.71691,0.55808,0.68588,1.0214,0.002872,0.002872,0.002872
74,61837,0.62797,0.99738,1.13073,0.79052,0.75525,0.82965,0.71848,0.55728,0.68326,1.02032,0.002773,0.002773,0.002773
75,62593.3,0.62628,0.98956,1.129,0.79093,0.75736,0.83099,0.72069,0.55631,0.68065,1.0196,0.002674,0.002674,0.002674
76,63356.3,0.62345,0.98305,1.12854,0.78633,0.76125,0.8318,0.72133,0.55541,0.67856,1.0189,0.002575,0.002575,0.002575
77,64114.6,0.62127,0.9727,1.12644,0.77661,0.7762,0.83356,0.72246,0.55504,0.67568,1.01827,0.002476,0.002476,0.002476
78,64873.5,0.61947,0.96321,1.12465,0.78477,0.766,0.8335,0.72298,0.55418,0.67235,1.01753,0.002377,0.002377,0.002377
79,65641.9,0.616,0.95287,1.12149,0.78895,0.76562,0.83522,0.72524,0.55293,0.66954,1.01644,0.002278,0.002278,0.002278
80,66405.3,0.61294,0.94613,1.121,0.78753,0.76546,0.83614,0.72701,0.55183,0.66736,1.01535,0.002179,0.002179,0.002179
81,67168.8,0.61179,0.93928,1.12078,0.79413,0.76225,0.83716,0.7278,0.55148,0.66372,1.01484,0.00208,0.00208,0.00208
82,67929,0.60986,0.92876,1.11837,0.8009,0.75977,0.83907,0.72929,0.55051,0.66127,1.01381,0.001981,0.001981,0.001981
83,68690.9,0.6069,0.91972,1.11682,0.80407,0.76158,0.83991,0.73102,0.54923,0.6588,1.01206,0.001882,0.001882,0.001882
84,69449.4,0.60501,0.9096,1.1146,0.80211,0.76346,0.84129,0.73257,0.54863,0.65763,1.01136,0.001783,0.001783,0.001783
85,70210.7,0.60261,0.90234,1.11292,0.80139,0.76497,0.84242,0.73364,0.54817,0.65538,1.01126,0.001684,0.001684,0.001684
86,70972.6,0.59888,0.88788,1.11059,0.79415,0.77442,0.84353,0.73428,0.54703,0.65343,1.00993,0.001585,0.001585,0.001585
87,71737.3,0.59682,0.87964,1.10918,0.79619,0.77533,0.84384,0.7355,0.54639,0.65108,1.00918,0.001486,0.001486,0.001486
88,72502.7,0.59298,0.8698,1.10734,0.79099,0.77987,0.84561,0.73715,0.54545,0.64839,1.00815,0.001387,0.001387,0.001387
89,73265.1,0.5896,0.85984,1.1065,0.78485,0.78893,0.84546,0.7379,0.54463,0.64739,1.00728,0.001288,0.001288,0.001288
90,74025.5,0.58811,0.84819,1.10386,0.80115,0.7752,0.84559,0.73829,0.54404,0.64535,1.00664,0.001189,0.001189,0.001189
91,74817.8,0.53649,0.68174,1.09751,0.79341,0.78077,0.84653,0.74059,0.54118,0.64118,1.00352,0.00109,0.00109,0.00109
92,75580.3,0.5251,0.64692,1.08681,0.79837,0.7792,0.84825,0.74272,0.53827,0.63601,1.00057,0.000991,0.000991,0.000991
93,76340.6,0.51883,0.6264,1.0811,0.79502,0.78346,0.84892,0.74387,0.53537,0.6318,0.99808,0.000892,0.000892,0.000892
94,77101,0.51004,0.60351,1.07285,0.80872,0.77262,0.84965,0.74466,0.53328,0.62938,0.99601,0.000793,0.000793,0.000793
95,77862.4,0.50509,0.5853,1.06955,0.80284,0.78201,0.84902,0.74495,0.53224,0.62554,0.99471,0.000694,0.000694,0.000694
96,78620.8,0.49761,0.56592,1.06404,0.80474,0.78475,0.85004,0.74658,0.53056,0.62322,0.99302,0.000595,0.000595,0.000595
97,79378.3,0.49003,0.54621,1.05751,0.80684,0.78537,0.85043,0.74747,0.52973,0.62177,0.99237,0.000496,0.000496,0.000496
98,80135.9,0.48333,0.52575,1.05164,0.80818,0.78786,0.851,0.74717,0.52943,0.62067,0.99203,0.000397,0.000397,0.000397
99,80890.2,0.47637,0.50678,1.04566,0.81529,0.78623,0.85024,0.74744,0.52903,0.62089,0.99187,0.000298,0.000298,0.000298
100,81648.3,0.4695,0.48938,1.03986,0.80678,0.79075,0.84986,0.74697,0.52886,0.6204,0.99188,0.000199,0.000199,0.000199
